공모전명,주최,주관,접수기간,분야,응모대상,시상내역,조회수,포스터
2024년 평택시의회 입법정책 아이디어 공모전,평택시의회,평택시의회,24.05.13 ~ 24.07.12,아이디어·창업·네이밍,제한없음,최우수상(1명) 상금 100만원 外,0,https://www.all-con.co.kr/data/poster/2405/512753.jpg?v=1715149726
제 23회 서울디자인페스티벌 영 디자이너 프로모션 모집,디자인하우스,월간<디자인> 매거진,24.04.01 ~ 24.07.15,디자인·그림·웹툰,"일반인, 대학생, 대학원생","월간 디자인 기획 기사 지원, ’부아부셰 2025‘ 참가 숙박비 제공 外",0,https://www.all-con.co.kr/data/poster/2405/512759.jpg?v=1715152328
"제6회 전국글쓰기대회 2024 달성, 시로 물들이다(디카시 공모전)",달성군립도서관,달성군립도서관,24.06.01 ~ 24.08.31,사진·영상,제한없음,총상금 700만원(대상 100만원),0,https://www.all-con.co.kr/data/poster/2405/512765.jpg?v=1716455486
2024 경남청년유튜브어워즈(Gyeongnam Youth Youtube Awards),경상남도청,경상남도청,24.05.08 ~ 24.06.23,사진·영상,"일반인, 대학생",일반영상 7편 및 쇼츠영상 8편 / 총 상금 2천만 원 및 도지사 표창,0,https://www.all-con.co.kr/data/poster/2405/512772.jpg?v=1715157495
2024년 일본군‘위안부’ 피해자 관련 청소년 작품공모전,여성가족부,여성가족부,24.05.08 ~ 24.06.28,아이디어·창업·네이밍,"대학생, 초등학생, 중학생, 고등학생","1등 200만원 총 1,500만원 外",0,https://www.all-con.co.kr/data/poster/2405/512789.png?v=1715215149
제3회 아이코리아 유아교사 창작동화 공모전,사단법인 아이코리아,사단법인 아이코리아,24.05.01 ~ 24.06.28,문학·학술·공학,기타 (유치원 및 어린이집 교사),상금,0,https://www.all-con.co.kr/data/poster/2405/512791.jpg?v=1715215311
제9회 전라남도 친환경디자인 공모전,전라남도,전라남도,24.07.01 ~ 24.07.31,디자인·그림·웹툰,제한없음,대상(1) : 상금 300만원 外,0,https://www.all-con.co.kr/data/poster/2405/512792.jpg?v=1715215588
2024 부산광역시 공공·빅데이터 활용 창업경진대회,부산광역시,부산테크노파크,24.04.19 ~ 24.06.30,아이디어·창업·네이밍,제한없음,아이디어 기획 부문: 최우수(1) : 250만원 外,0,https://www.all-con.co.kr/data/poster/2405/512794.jpg?v=1715215845
제 11회 기업가정신 콘텐츠 공모전,중소벤처기업부,한국청년기업가정신재단,24.05.08 ~ 24.08.28,아이디어·창업·네이밍,제한없음,시상금,0,https://www.all-con.co.kr/data/poster/2405/512812.jpg?v=1715840549
제45회 근로자미술제,근로복지공단,KBS미디어,24.05.01 ~ 24.06.30,사진·영상,"일반인, 기타",대상(국무총리상) 1명 등,0,https://www.all-con.co.kr/data/poster/2405/512813.JPG?v=1715232096
2024 전국 대학생 UAM올림피아드,"국토교통부, 한국교통안전공단","한국교통안전공단, 한국국토정보공사, 한국공항공사, 한국교통연구원, 한국전파진흥협회, 한국법제연구원",24.04.29 ~ 24.06.30,아이디어·창업·네이밍,"대학생, 대학원생",부문별 상세요강 참조,0,https://www.all-con.co.kr/data/poster/2405/512814.jpg?v=1715232582
제45회 근로자문학제,근로복지공단,KBS미디어,24.05.01 ~ 24.06.30,문학·학술·공학,"일반인, 기타",대상(고용노동부장관상)  1명 상금 400만원,0,https://www.all-con.co.kr/data/poster/2405/512815.JPG?v=1715236339
어린이 우주인 선발대회,"동아사이언스, 고흥","동아사이언스, 고흥",24.04.01 ~ 24.07.31,문학·학술·공학,초등학생,최종 어린이 우주인 NASA 해외우주센터 탐방,0,https://www.all-con.co.kr/data/poster/2405/512829.jpg?v=1715300212
2024 산업안전 웹툰 공모전 세상을 바꾸는 웹툰 공모전,"안전보건공단, CJ ENM",안전보건공단,24.05.13 ~ 24.06.20,디자인·그림·웹툰,제한없음,"총 2,600만원 상금 (총 6개 작품 수상)",0,https://www.all-con.co.kr/data/poster/2405/512841.png?v=1715299414
서울디자인어워드 2024,(재)서울디자인재단,(재)서울디자인재단,24.04.01 ~ 24.06.28,디자인·그림·웹툰,제한없음,총 27선 (하단 상세 내용 참조),0,https://www.all-con.co.kr/data/poster/2405/512845.jpg?v=1716183390
2024 물류분야 논문경진대회,한국물류과학기술학회,한국물류과학기술학회,24.07.01 ~ 24.07.31,문학·학술·공학,"일반인, 대학생, 대학원생","대상(1편) 상금 300만원, 특전 제공 外",0,https://www.all-con.co.kr/data/poster/2405/512850.png?v=1715301348
2024 GH 공간복지 청년 공모전,경기주택도시공사,경기주택도시공사,24.06.03 ~ 24.06.28,아이디어·창업·네이밍,대학생,"1등 1,000만원 총 3,500만원 外",0,https://www.all-con.co.kr/data/poster/2405/512859.jpg?v=1715314539
2024년 개관 10주년 기념 캐릭터 디자인 공모전,울산광역시동구장애인복지관,울산광역시동구장애인복지관,24.05.20 ~ 24.07.19,디자인·그림·웹툰,제한없음,금상 1명(팀): 상장 및 50만원 상품권 外,0,https://www.all-con.co.kr/data/poster/2405/512870.jpg?v=1715316608
제7회 팩트체킹 공모전,(사)방송기자연합회,(사)방송기자연합회,24.04.24 ~ 24.09.22,사진·영상,"일반인, 중학생, 고등학생",1등 300만원 총 500만원 外,0,https://www.all-con.co.kr/data/poster/2405/512885.jpg?v=1715324655
2024년 AI·ICT 장애인 보조공학기기 공모전,고용노동부,한국장애인고용공단 보조공학센터,24.05.07 ~ 24.07.01,문학·학술·공학,제한없음,"최우수상, 우수상, 장려상",0,https://www.all-con.co.kr/data/poster/2405/512893.jpg?v=1715330023
2024년 서울교통공사 개통 50주년 유튜브 영상 공모전,서울교통공사,서울교통공사,24.06.03 ~ 24.07.07,아이디어·창업·네이밍,"일반인, 대학생, 대학원생, 고등학생",상금,0,https://www.all-con.co.kr/data/poster/2405/512894.png?v=1715330510
국민통합위원회 두근두근 동행 챌린지 이벤트,국민통합위원회,국민통합위원회,24.05.13 ~ 24.06.16,사진·영상,제한없음,경품 3종 추첨,0,https://www.all-con.co.kr/data/poster/2405/512912.jpg?v=1716369168
2024 경기북부 안전문화 캐치프레이즈 공모전,한국산업안전보건공단 경기북부지사,한국산업안전보건공단 경기북부지사,24.05.13 ~ 24.06.14,아이디어·창업·네이밍,"기타 (경기북부 소재지역 근로자, 학생, 시민)",고용노동부 의정부지청장상/1명/아이패드 프로 6세대 外,0,https://www.all-con.co.kr/data/poster/2405/512914.jpg?v=1715580202
국립대구과학관 2024 과학영상콘텐츠 공모전,국립대구과학관,국립대구과학관,24.05.13 ~ 24.06.30,사진·영상,"대학생, 초등학생, 중학생, 고등학생",총상금 550만원,0,https://www.all-con.co.kr/data/poster/2405/512932.jpg?v=1715661648
