공모전명,포스터,주최,주관,접수기간,분야,응모대상,시상내역
당신의 원픽에 투표하세요! 이벤트,/data/poster/2404/511429.png?v=1712206409,포크밸리,포크밸리,24.04.03 ~ 24.04.09,,,포크밸리 육포 1set 총 10팩
국립문화재연구원 <국가유산을 보다> 참가자 모집 이벤트,/data/poster/2404/511430.jpg?v=1712133913,국립문화재연구원,국립문화재연구원,24.03.29 ~ 24.04.07,,,B** 황금올리브 치킨 + 콜라 1.25L (참가자 15명) *현장 지급 스*** 아이스 아메리카노T (이벤트 참여자 25명)
스포츠활동 인센티브 '튼튼머니' BI 공모전,/data/poster/2404/511431.png?v=1712188385,서울올림픽기념국민체육진흥공단,서울올림픽기념국민체육진흥공단,24.04.02 ~ 24.04.15,디자인·그림·웹툰,제한없음,"1등 (1명/팀) 400만원, 2등 (2명/팀) 각 100만 원"
자바기반 풀스택 웹개발자 국비지원 하이미디어아카데미 안양점,/data/poster/2404/511432.jpg?v=1712188558,하이미디어아카데미 안양점,하이미디어아카데미 안양점,24.04.03 ~ 24.05.29,,기타 (내일배움카드 발급 가능자),"교육비전액지원, 일정금액의 지원금 제공 外"
2024 ACC 민주·인권·평화 웹툰 공모전,/data/poster/2404/511433.png?v=1714710827,국립아시아문화전당,국립아시아문화전당,24.04.01 ~ 24.06.16,디자인·그림·웹툰,제한없음,"대상(부문별 각 1) 문제부장관상, 상금 500만원 外"
GCGF 혁신 아이디어 공모,/data/poster/2404/511434.png?v=1715677543,경기신용보증재단,경기신용보증재단,24.03.25 ~ 24.05.16,아이디어·창업·네이밍,"일반인, 대학생, 대학원생",최우수상(1명) : 100만원 外
기업프로젝트기반 빅데이터 분석 AI 융합전문가 양성(머신러닝&딥러닝),/data/poster/2404/511435.jpg?v=1712188890,메가제이엠씨,더조은아카데미 신촌점,24.04.03 ~ 24.05.06,,제한없음,기타
메리오케스트라 EDU 7 평일 저녁 2시간으로 오케스트라 취미 갖기,/data/poster/2404/511436.jpg?v=1712189103,사단법인 메리,사단법인 메리,24.04.03 ~ 24.04.09,기타(캠프/강연 등),"일반인, 대학생, 대학원생",수료증
"온라인 직무스터디 현직자와 함께 스벅, 배민, 챗GPT를 스터디해요",/data/poster/2404/511437.png?v=1712189321,잇기,잇기,24.04.03 ~ 24.04.08,기타(캠프/강연 등),"일반인, 대학생, 대학원생",역기획 실무실습
2024년도 한국여성수리과학회 3기 학생기자단 모집,/data/poster/2404/511438.png?v=1712541864,한국여성수리과학회,한국여성수리과학회,24.04.03 ~ 24.04.07,서포터즈·기자단·마케터,"대학생, 대학원생",한국여성수리과학회 학생기자 위촉장(수료증) 수료 外
매치워크X루트임팩트 임팩트 커리어 베이직 1기 모집,/data/poster/2404/511439.jpeg?v=1712189523,매치워크,루트임팩트,24.03.28 ~ 24.04.08,기타(캠프/강연 등),"대학생, 대학원생",<임팩트 커리어 베이직 과정> 교육 무료 수강 外
총 장학금 4만불 지원★2024 해커스 장학생 모집 (~5/26 마감),/data/poster/2404/511440.jpg?v=1712206481,해커스교육그룹,해커스어학원,24.04.01 ~ 24.05.26,,,"1인당 미화 10,000 달러 (본인 명의 계좌로 일괄 송금)"
제33회 초중고생 그림그리기 및 문학백일장,/data/poster/2404/511441.jpg?v=1712190485,부산진구,부산진구,24.04.01 ~ 24.04.20,디자인·그림·웹툰,"초등학생, 중학생, 고등학생","최우수, 우수, 특선 外"
제37회 시인이 되다 빛창공모전 (여름편) 공모,/data/poster/2404/511442.jpg?v=1712190720,신세계안과,신세계안과,24.04.01 ~ 24.04.30,문학·학술·공학,제한없음,대상(1명) 문화상품권 30만원 外
2024년도 주부산일본국총영사관 서포터즈 제9기 모집,/data/poster/2404/511443.png?v=1712191589,주부산일본국총영사관,주부산일본국총영사관,24.04.15 ~ 24.04.21,서포터즈·기자단·마케터,"대학생, 기타 (영남지역 대학에 재(휴)학 중인 자)",일본 초청비용 外
2024 울산 대학(원)생 콘텐츠 공모전,/data/poster/2404/511444.jpg?v=1712192002,바다에너지,"SK에코플랜트, 코리오제너레이션, 토탈에너지스",24.03.29 ~ 24.05.31,사진·영상,"대학생, 대학원생","대상: 동영상 부문(1) 상금 200만원, 이미지 부문(1) 상금 100만원 外"
2024 카카오 제주임팩트챌린지 4기 모집,/data/poster/2404/511445.png?v=1712192249,카카오,"MYSC, 제주사회적경제네트워크",24.03.25 ~ 24.04.14,서포터즈·기자단·마케터,제한없음,"활동비 지원, 프로젝트 실행 비용 지원 外"
제22회 겸재미술대전,/data/poster/2404/511446.jpg?v=1712192586,강서문화원,강서문화원,24.04.25 ~ 24.05.10,디자인·그림·웹툰,"일반인, 대학생, 대학원생, 기타 (만 19세 이상)","대상(1) 상장 및 매입 상금 1,200만원 外"
청년 공익 기자단 채리티 에디터 7기 모집,/data/poster/2404/511447.png?v=1712193762,한국가이드스타,한국가이드스타,24.04.04 ~ 24.04.28,서포터즈·기자단·마케터,"일반인, 대학생, 대학원생","취재 활동비(실비) 지원, 기자 출신 1:1 취재 멘토링 제공 外"
2024 외교부 KOREAZ 서포터즈 모집,/data/poster/2404/511448.jpg?v=1712192929,외교부,외교부,24.04.01 ~ 24.04.17,서포터즈·기자단·마케터,제한없음,"활동비 지급, 임명장 지급 外"
2024년 NEXT 10 월드클래스 육성 사업 참가자 모집,/data/poster/2404/511449.png?v=1716342210,"부산광역시, 부산경제진흥원, 부산청년센터","부산광역시, 부산경제진흥원, 부산청년센터",24.05.10 ~ 24.05.24,아이디어·창업·네이밍,"일반인, 대학생, 대학원생, 기타 (18세 이상 ~ 39세 이하 까지 아래 자격 중 최소 1가지 이상 충족 (주민등록상 1984. 1. 1. ~ 2006. 12. 31. 출생))",최대 1억원 / 3년 간 역량개발비 지원
브이월드(V-World) 청년 서포터즈 1기 모집,/data/poster/2404/511450.jpg?v=1712193168,국토교통부,공간정보산업진흥원,24.04.01 ~ 24.04.17,서포터즈·기자단·마케터,"일반인, 대학생, 대학원생","활동비 지급, 수료증 발급 外"
2024년 서초구 미디어 크리에이터 기초(과정) 모집공고,/data/poster/2404/511451.jpg?v=1712194121,서초구청,서초구청,24.04.01 ~ 24.04.26,기타(캠프/강연 등),"일반인, 대학생, 대학원생","교육비 무료, 콘텐츠 제작지원금 지급 外"
서울특별시교육청 2024년 대학생 도서관 서포터즈 도소리 5기 모집,/data/poster/2404/511452.jpg?v=1712193483,서울특별시교육청종로도서관 등 12개관,서울특별시교육청종로도서관 등 12개관,24.04.01 ~ 24.04.21,서포터즈·기자단·마케터,대학생,"봉사실적 인증, 수료증 外"
(기간연장)2026여수세계섬박람회 프로그램(콘텐츠) 아이디어 공모전,/data/poster/2404/511453.jpg?v=1716509448,"전라남도, 여수시",(재)2026여수세계섬박람회 조직위원회,24.04.01 ~ 24.05.24,아이디어·창업·네이밍,제한없음,표창 및 상금(최대 200만원)
2024년 봄학기 건축/토목 BIM 교육생 모집,/data/poster/2404/511454.jpg?v=1712204348,국토교통부,건설기술교육원,24.04.01 ~ 24.04.15,,"일반인, 대학생, 대학원생, 기타 (국민 내일배움카드 발급 가능자)","기숙사(인천), 훈련장려금 등"
2024 제10기 부산 우리말 가꿈이,/data/poster/2404/511455.png?v=1712204501,"문화체육관광부, 사단법인 국어문화원 연합회",동아대 국어문화원,24.03.11 ~ 24.04.14,서포터즈·기자단·마케터,제한없음,"임명장 및 수료증 발급, 우수 활동자 문화체육관광부장관상 外"
2024 아리수 서포터즈 모집,/data/poster/2404/511456.jpg?v=1713156489,서울아리수본부,(주)위드컬처,24.04.02 ~ 24.04.21,서포터즈·기자단·마케터,제한없음,"위촉장 수여, 굿즈 제공, 팀별 활동비 월 20만 원 지급 外"
제17회 KISA 안전그림·포스터 공모전,/data/poster/2404/511457.jpg?v=1712205140,(사)대한산업안전협회,(사)대한산업안전협회,24.04.01 ~ 24.05.31,디자인·그림·웹툰,"초등학생, 중학생, 고등학생",1등 50만원 총 750만원 外
2024 국제아동미술대회,/data/poster/2404/511458.jpg?v=1712205581,월간교육신문,키드잡아동문화협회,24.04.09 ~ 24.05.30,디자인·그림·웹툰,"초등학생, 주부 및 영유아","대상(상패,기념코인), 최우수상, 금상 外"
경기도 광명시X마이온 2024 광명시 원스톱 취업지원 컨설팅,/data/poster/2404/511459.png?v=1712205788,광명시 시청 일자리창출과,마이온컴퍼니,24.04.04 ~ 24.11.30,,"일반인, 대학생, 대학원생",참가비 무료
충청권 대학생 연합 마케터 컬러링 2기 모집,/data/poster/2404/511460.png?v=1712205972,충청청년스타트업 협동조합,충청청년스타트업 협동조합,24.04.04 ~ 24.04.23,서포터즈·기자단·마케터,대학생,우수 마케터 상금 30만원 수여 外
제37회 대한민국학생발명전시회 및 제26회 전국교원발명품경진대회,/data/poster/2404/511461.jpg?v=1712206082,특허청,한국발명진흥회,24.03.11 ~ 24.04.15,아이디어·창업·네이밍,"초등학생, 중학생, 고등학생, 기타 (대한민국 국적의 초중등교육법 제2조에 해당하는 학교의 현직 교원(기간제 포함))","상금, 상장, 메달, 상패"
부산영상위원회 2024 BFC 스토리 IP 공모전,/data/poster/2404/511462.jpg?v=1712206171,부산영상위원회,부산영상위원회,24.06.03 ~ 24.06.30,사진·영상,기타 (부산 및 경남권 지역에서 활동 중인 창작자),공고문 참고
2024 국비지원 미국인턴십 연수과정,/data/poster/2404/511463.png?v=1712206392,산업인력공단,ICN Group,24.04.04 ~ 24.06.27,체험단·모니터링·인턴십,"일반인, 대학생, 대학원생",교육비 국비지원&지원금혜택
2024 대덕구 청년벙커 청년연구 공모 공고,/data/poster/2404/511464.png?v=1712206671,"대전광역시, 대덕구",대덕구 청년벙커,24.03.25 ~ 24.04.23,아이디어·창업·네이밍,"일반인, 대학생, 대학원생",연구비 지원
[미래도서관 정책 아이디어 해커톤 대회] 대국민 온라인 투표를 진행합니다. (추첨 50명 커피 증정),/data/poster/2404/511465.jpg?v=1712207166,"문화체육관광부,도서관위원회","문화체육관광부,도서관위원회",24.04.04 ~ 24.04.07,,제한없음,커피쿠폰
1:1 비대면 온라인 멘토링 대학생 멘토 모집,/data/poster/2404/511466.png?v=1712209244,오디바이스,오디바이스,24.04.03 ~ 24.05.31,기타(캠프/강연 등),대학생,"활동비, 수료증 및 인증서 제공"
"누구나 할 수 있는 심리적 응급처치(PFA), 보고 듣고 연결하기",/data/poster/2404/511467.jpg?v=1712209367,국립정신건강센터 국가트라우마센터·한국트라우마스트레스학회,국립정신건강센터 국가트라우마센터·한국트라우마스트레스학회,24.03.25 ~ 24.04.19,,제한없음,안전 용품 지급 外
부산광역시 2024 청년정책 홍보 서포터즈 참여자 모집공고,/data/poster/2404/511468.jpg?v=1712209581,부산경제진흥원,부산경제진흥원,24.04.08 ~ 24.04.28,서포터즈·기자단·마케터,"일반인, 대학생, 대학원생, 기타 (18세~39세)",위촉장 수여 外
착한가격업소 챌린지 댓글 이벤트!,/data/poster/2404/511469.png?v=1712210062,행정안전부,행정안전부,24.03.27 ~ 24.04.10,,,"한우세트, 영화티켓, 커피 기프티콘"
2024 세종 관광기업 서포터즈 모집,/data/poster/2404/511470.png?v=1712216385,문화체육관광부 / 세종특별자치시 / 한국관광공사 / 대전관광공사,대전·세종 관광기업지원센터,24.04.04 ~ 24.04.24,서포터즈·기자단·마케터,"일반인, 대학생, 대학원생",우수 서포터즈 대상 관광기업 인턴십 기회 제공(2개월) 外
강남세움복지관 2024 리빙투게더 활동단 모집,/data/poster/2404/511471.png?v=1712216536,강남세움복지관,강남세움복지관,24.04.04 ~ 24.04.18,봉사활동,"일반인, 대학생, 대학원생","활동 인증서, 활동비, (요청시) 자원봉사시간"
2024 청주시아동복지관 대학생 서포터즈 모집,/data/poster/2404/511472.jpg?v=1712216602,청주시아동복지관,청주시아동복지관,24.04.01 ~ 24.04.17,서포터즈·기자단·마케터,대학생,서포터즈 위촉장 및 수료증 발급 外
2024 창의·혁신 수업 사례 공모전,/data/poster/2404/511473.jpg?v=1713419739,해냄에듀,해냄에듀,24.05.02 ~ 24.05.20,"기타(예체능, e스포츠 등)",기타,대상(1명): 300만원 外
월간 아이러브캐릭터 2024 캐릭터 신상품 품평단 모집,/data/poster/2404/511474.png?v=1712217345,아이러브캐릭터,아이러브캐릭터,24.04.04 ~ 24.04.22,체험단·모니터링·인턴십,제한없음,"매월 신상 캐릭터상품 체험, 캐릭터·아동 행사 VIP 초대 外"
금융에 대한 취업부터 지식까지 금융취.지.,/data/poster/2404/511475.png?v=1712217467,(주)위플레이위워크,(주)위플레이위워크,24.04.04 ~ 24.04.21,기타(캠프/강연 등),제한없음,입사시 가산점
청소년 연극/뮤지컬 극단 The틴즈 뮤지컬 제1기 배우모집 공고,/data/poster/2404/511476.png?v=1712217583,The열정뮤지컬,The열정뮤지컬,24.04.01 ~ 24.05.08,기타(캠프/강연 등),"중학생, 고등학생","수료증 수여 및 뮤지컬 교육, 공연 경험 제공"
2024년 WISET 이공계 대학(원)생 취업탐색 멘토링 멘티 활동,/data/poster/2404/511477.png?v=1712220208,한국여성과학기술인육성재단(WISET),한국여성과학기술인육성재단(WISET),24.04.01 ~ 24.04.28,체험단·모니터링·인턴십,"대학생, 대학원생, 기타 (미취업자)","취업 및 진학 정보 취득, 네트워킹 기회"
[멀티캠퍼스] 금융&마케팅 데이터분석(Python) 교육생 모집 중,/data/poster/2404/511478.png?v=1712793406,멀티캠퍼스,멀티캠퍼스,24.04.08 ~ 24.05.01,,"일반인, 대학생, 대학원생, 기타 (국민내일배움카드 발급 가능자)","1,500만원 상당의 강의 전액 무료, 취업특강 外"
2024 광주 동구청년센터 AI 실무 활용 커뮤니티,/data/poster/2404/511479.jpg?v=1712274864,광주 동구 청년센터 아지트,광주 동구 청년센터 아지트,24.04.04 ~ 24.04.12,,제한없음,무료 교육
크리에이티브 파트너스 회계 새내기를 위한 세무회계 입문과정,/data/poster/2404/511480.png?v=1712275115,크리에이티브 파트너스,크리에이티브 파트너스,24.04.01 ~ 24.04.12,,일반인,경력직 세무사님과의 취업 상담 外
2024 충청북도 생성형 인공지능 전국 경진대회,/data/poster/2404/511481.png?v=1712275256,충청북도,충북과학기술혁신원,24.04.05 ~ 24.04.24,아이디어·창업·네이밍,"일반인, 대학생, 대학원생, 초등학생, 중학생, 고등학생","대상, 최우수상, 우수상 外"
2024 제10회 DB GAPS 투자대회,/data/poster/2404/511482.jpg?v=1712279653,DB김준기문화재단,DB금융투자,24.04.08 ~ 24.05.03,아이디어·창업·네이밍,"대학생, 대학원생",1위(1개 팀) 상금 500만원 外
제6회 청소년 체커톤,/data/poster/2404/511483.jpg?v=1712278962,한국언론진흥재단,한국언론진흥재단,24.04.01 ~ 24.05.20,아이디어·창업·네이밍,"대학생, 초등학생, 중학생, 고등학생","1등 300만원 총 3,400만원"
2024년 서울시 뉴딜일자리 민간기업 맞춤형사업 이러닝전문가 양성 및 취업과정,/data/poster/2404/511484.jpg?v=1712291924,서울시,(사)한국HRD기업협회,24.04.05 ~ 24.05.22,,제한없음,교육비 전액 지원(600만원상당) 外
2024 김종철 시낭송대회,/data/poster/2404/511485.jpg?v=1712278016,김종철시인을사랑하는모임,목소리예술연구소/ 보키니,24.04.02 ~ 24.05.05,문학·학술·공학,제한없음,김종철상 상금 350만원 外
한국관광공사 x 카카오 2024 관광데이터 활용 공모전,/data/poster/2404/511486.jpg?v=1712278378,"한국관광공사, 카카오",,24.04.03 ~ 24.05.09,아이디어·창업·네이밍,제한없음,"대상(1팀) 문화체육부 장관상 상금 1,500만원 外"
2024_제21회 전국 애송시 낭송대회,/data/poster/2404/511487.jpg?v=1712278611,광주광역시서구,광주광역시서구문화원,24.04.03 ~ 24.05.17,문학·학술·공학,일반인,대상(1명) 상금 100만원 및 광주광역시서구청장상 外
2024 제천한방바이오박람회 슬로건 및 포스터 디자인 공모전,/data/poster/2404/511488.png?v=1712279446,제천시,제천한방바이오진흥재단,24.04.03 ~ 24.04.19,아이디어·창업·네이밍,제한없음,최우수(1명) 30만원 外
2024 분당서현청소년수련관 청년기획단 아우름 신규단원 추가모집,/data/poster/2404/511489.jpg?v=1712279865,성남시청소년재단 분당서현청소년수련관,성남시청소년재단 분당서현청소년수련관,24.04.05 ~ 24.04.26,체험단·모니터링·인턴십,"대학생, 대학원생, 기타 (청년(19세~ 34세))","봉사시간 및 활동확인서 발급, 표창수여 기회제공 外"
2024 한강 라이징 스타,/data/poster/2404/511490.png?v=1712649753,"서울특별시 미래한강본부, 서울신문사",,24.03.29 ~ 24.04.30,"기타(예체능, e스포츠 등)",제한없음,한강 앰버서더 위촉 外
[한독 모터스] 따끈한 TIP Ep.2 댓글이벤트 (🎁스타벅스 케익 커피 세트🎁),/data/poster/2404/511491.jpg?v=1712279996,한독 모터스,한독 모터스,24.04.05 ~ 24.04.12,,,스타벅스 오늘도 달콤하게(ICE) SET
금천구 청년도전지원사업 도전대학 신입생 모집,/data/poster/2404/511492.jpg?v=1713158248,고용노동부,청춘삘딩,24.04.03 ~ 24.04.26,기타(캠프/강연 등),일반인,"맞춤형 프로그램 제공(학과별 40, 120, 200시간) 外"
다음 항목에 오류가 있습니다.,,,,,,,
제15회 2충1효 전국백일장 공모전,/data/poster/2404/511494.jpg?v=1712283238,적돌문학회/한국청소년보호연맹 서산·태안지회,교육타임즈,24.04.06 ~ 24.06.08,문학·학술·공학,제한없음,종합장원 100만원(학생부 1명)
2024 동작 42스트릿 서포터즈 모집,/data/poster/2404/511495.jpg?v=1712553532,동작활성화사업단,동작활성화사업단,24.04.08 ~ 24.04.30,서포터즈·기자단·마케터,제한없음,"콘텐츠를 제작하여 SNS 업로드시, 활동비 지급 外"
Sustainable Green Impact for YOUTH+ 3기 모집,/data/poster/2404/511496.jpg?v=1712553960,재단법인 기후변화센터,-,24.04.04 ~ 24.05.06,서포터즈·기자단·마케터,대학생,수료증 수여 外
다음 항목에 오류가 있습니다.,,,,,,,
써모스 루티너 시즌 5 모집,/data/poster/2404/511498.png?v=1712283819,써모스 코리아,써모스 루티너 운영사무국,24.04.04 ~ 24.04.14,서포터즈·기자단·마케터,기타 (20대),"루티너 시즌5 웰컴 키트, 소정의 활동비 지급 外"
데이터융합 자바(JAVA) 응용 SW개발자 취업과정,/data/poster/2404/511499.jpg?v=1712290852,중앙정보기술인재개발원,중앙정보기술인재개발원,24.04.05 ~ 24.04.28,,제한없음,아래 내용 참고
제10회 SW사고력올림피아드,/data/poster/2404/511500.png?v=1712291065,"한국소프트웨어산업협회, 전자신문, 서울교육대학교, 전국 11개 SW중심대학 (강원대학교, 연세대학교 미래캠퍼스, KAIST, 경북대학교, 대구가톨릭대학교, 동서대학교, 동아대학교, 부산대학교, 전북대학교, 전남대학교, 제주대학교)",이티에듀,24.04.01 ~ 24.05.27,문학·학술·공학,"초등학생, 중학생",본문참조
2024년 국가유산 방문 캠페인 서포터즈 방캠즈 2기 모집,/data/poster/2404/511501.png?v=1712291270,문화재청,한국문화재재단,24.04.02 ~ 24.04.19,서포터즈·기자단·마케터,제한없음,월별 과제 수행 시 활동비 20만원 지급
2024년 상반기 체험형 인턴 1기 모집 안내,/data/poster/2404/511502.png?v=1712291354,한국경영인증원,한국경영인증원 미래혁신팀,24.04.05 ~ 24.04.10,체험단·모니터링·인턴십,제한없음,"인턴십 참여 수당 제공, 인턴 수료증 제공"
라이브커머스 크리에이터 양성 교육,/data/poster/2404/511503.png?v=1712291527,한국전파진흥협회,롯데홈쇼핑,24.03.25 ~ 24.04.12,기타(캠프/강연 등),"일반인, 대학생, 대학원생","활동지원급 지급, 해외 연수 지원, 롯데홈쇼핑 채용 기회"
아이티윌 부산교육센터 자바 스프링 백엔드 개발자 양성과정 수강생 모집,/data/poster/2404/511504.jpg?v=1712291718,아이티윌 부산교육센터/고용노동부,아이티윌 부산교육센터/고용노동부,24.04.05 ~ 24.05.24,,제한없음,"전액 국비무료(교재비 포함) , 훈련수당 매월 지급"
2024 창녕 교동과 송현동 고분군 세계유산 등재 기념 사진 공모전,/data/poster/2404/511505.jpg?v=1712299221,창녕군 관광환경국 문화예술과/스마트크리에이터,창녕군 관광환경국 문화예술과/스마트크리에이터,24.11.01 ~ 24.11.29,사진·영상,제한없음,상금(총상금 : 590만원 / 1위 : 300만원)
전국 대학 연합 게임 동아리 PLINDI 플린디 부원 모집,/data/poster/2404/511506.png?v=1712541892,플린디,플린디,24.04.05 ~ 24.04.25,서포터즈·기자단·마케터,대학생,"게임 행사 무료 티켓 제공, 게임 업계 실무자 교육 강의 예정 外"
2024년 제24회 대한민국 안견미술대전,/data/poster/2404/511507.jpg?v=1712294731,서산시,"(재)서산문화재단, (사)안견기념사업회",24.05.27 ~ 24.05.31,디자인·그림·웹툰,"일반인, 대학생, 대학원생","총 상금 5,000만원"
2024 대학생 생물분류 연구논문 공모전,/data/poster/2404/511508.jpg?v=1712295194,국립 생물 자원관,국립 생물 자원관,24.04.05 ~ 24.05.08,문학·학술·공학,대학생,"총 10팀 (총 상금 1,550만원)"
2024년 안견문화제 전국청소년미술공모전,/data/poster/2404/511509.jpg?v=1712295299,서산시,"(재)서산문화재단, (사)안견기념사업회",24.06.17 ~ 24.06.21,디자인·그림·웹툰,"초등학생, 중학생, 고등학생","총 상금 1,200만원"
청년일다방 뷰티클래스,/data/poster/2404/511510.jpg?v=1712295498,청년일다방,청년일다방,24.04.05 ~ 24.04.19,기타(캠프/강연 등),"일반인, 대학생, 대학원생","무료 메이크업 진단, 사진촬영"
에듀코카 뉴스레터 콩!(CON-G!) 신규 구독 이벤트,/data/poster/2404/511511.png?v=1712294816,에듀코,한국콘텐츠진흥원,24.04.05 ~ 24.05.03,,,"스타벅스, 교촌치"
한국관광공사 아시아중동 출신 외국인 서포터즈 2024 와우코리아 서포터즈 모집,/data/poster/2404/511512.jpg?v=1712295638,한국관광공사,한국관광공사,24.04.05 ~ 24.04.21,서포터즈·기자단·마케터,기타 (외국인),서포터즈 선정
[참여시 전원 증정] 1만원 상당 풀무원 단백바*3입 증정 이벤트,/data/poster/2404/511513.jpg?v=1712295313,KB손해보험,KB손해보험,24.04.05 ~ 24.04.07,,,풀무원 톳톳바 3개
2024 청소년 국제 미술 공모전,/data/poster/2404/511514.jpg?v=1712298329,K-art 국제교류협회,K-art 국제교류협회,24.04.01 ~ 24.05.15,디자인·그림·웹툰,"중학생, 고등학생",특전 내용 해당 공모전 요강 참조
2024 국제 어린이 미술 공모전,/data/poster/2404/511515.jpg?v=1712298413,K-art국제교류협회,아르티스,24.04.01 ~ 24.05.15,디자인·그림·웹툰,"초등학생, 주부 및 영유아",공모요강 참조
제8회 크리에이터양성 1인방송스쿨 교육생 모집공고,/data/poster/2404/511516.jpg?v=1712298615,방송콘텐츠진흥재단,방송콘텐츠진흥재단,24.03.25 ~ 24.05.03,,"일반인, 대학생, 대학원생, 기타 (만 19세 이상)",교육생 전원 콘텐츠 제작을 위한 방송장비 현물지원 外
2024년 상상대로 서울 대학생 서포터즈 5기 모집,/data/poster/2404/511517.jpg?v=1712298770,서울특별시,서울특별시,24.04.03 ~ 24.04.21,서포터즈·기자단·마케터,대학생,"소정의 활동비 지원, 참여자 전원 서포터즈 활동 위촉장 수여 外"
제5회 시험·연구용 유전자변형생물체 안전 콘텐츠 공모전 공고,/data/poster/2404/511518.jpg?v=1713422031,과학기술정보통신부,한국생명공학연구원 국가연구안전관리본부,24.04.04 ~ 24.06.30,사진·영상,제한없음,"총 상금 2,990만원, 37명(팀) 시상(장관상 3점)"
2024 목포세계마당페스티벌 빠꼼이 모집,/data/poster/2404/511519.jpg?v=1712298939,"사)세계마당아트진흥회, 목포MBC, 목포원도심상인연합회","극단 갯돌, 목포세계마당페스티벌 추진위원회",24.04.05 ~ 24.05.04,봉사활동,대학생,"숙박 및 식사 제공, 봉사활동 4일 8시간씩 발급 外"
2024 대자연사랑 사진공모전,/data/poster/2404/511520.png?v=1712299202,사단법인 대자연사랑실천본부,사단법인 대자연사랑실천본부,24.03.18 ~ 24.05.16,사진·영상,제한없음,"대상 1명 30만원, 최우수 1명 20만원 外"
2024 강릉단오제 영산홍챌린지,/data/poster/2404/511521.jpg?v=1712299581,(사)강릉단오제위원회,(사)강릉단오제위원회,24.04.25 ~ 24.05.14,사진·영상,제한없음,일반부: 대상(1팀) 300만원 外
2024년 삼성증권 대학생 멤버십 Young Creator 13기 모집,/data/poster/2404/511522.jpg?v=1712300781,삼성증권,삼성증권,24.04.05 ~ 24.04.15,서포터즈·기자단·마케터,대학생,멤버십에 선발된 전원에게 최신형 노트북 지급 外
2024 노량진청년일자리센터X얼티밋커리어그룹 청취력 프로그램 참가자 모집,/data/poster/2404/511523.png?v=1712307183,노량진청년일자리센터,얼티밋커리어그룹,24.04.01 ~ 24.04.22,기타(캠프/강연 등),제한없음,전문가/임직원 멘토링/2024 취업대비백서 증정
공익사업 공모전 홍보 서포터즈 브릿지 메이커스 1기 모집,/data/poster/2404/511524.jpg?v=1712301378,신용카드사회공헌재단,신용카드사회공헌재단,24.04.08 ~ 24.04.17,서포터즈·기자단·마케터,대학생,활동비 지급
2024 경기둘레길 자원활동가 모집,/data/poster/2404/511525.jpg?v=1712301226,경기관광공사,(사)한국의 길과문화,24.04.05 ~ 24.04.17,봉사활동,제한없음,자원활동 경비 및 물품 지원 外
안전보건공단 대학생 기자단 안단테 13기 모집,/data/poster/2404/511526.jpg?v=1712301472,안전보건공단,고용노동부,24.04.03 ~ 24.04.15,서포터즈·기자단·마케터,"대학생, 대학원생","기사작성 및 모니터링 진행 시 원고료 지급, 안전보건공단 관련 행사 초대 外"
2024년 근로복지공단 국민기자단 모집,/data/poster/2404/511527.jpg?v=1712301994,근로복지공단,근로복지공단,24.04.05 ~ 24.04.28,서포터즈·기자단·마케터,"일반인, 대학생, 대학원생",게시글 본문 참고
2024 제4회 서울락스퍼국제영화제 서포터즈 모집,/data/poster/2404/511528.png?v=1712304823,락스퍼국제영화제 전국협의회,락스퍼국제영화제 조직위원회,24.03.18 ~ 24.04.27,서포터즈·기자단·마케터,제한없음,영화제 기간 프리패스 배지 제공 外
청주 이주배경아동 멘토링 활동,/data/poster/2404/511529.jpg?v=1714467311,초록우산 청주사회복지관,"초록우산 청주사회복지관, 청주 서부종합사회복지관, 청주 목령종합사회복지관",24.04.01 ~ 24.05.03,봉사활동,대학생,"자원봉사 시간 부여, 우수봉사자 추천 기회제공"
"[🎁이벤트 진행 중] 2024년, 다시 한 번 새로워진 잏TV. 빵빠레 불면서 시작.",/data/poster/2404/511530.jpg?v=1712303690,인천도시공사,인천도시공사,24.03.28 ~ 24.04.12,,,"홀리데이 인 인천 송도 1박 2일 숙박권 (2장, 조식 포함), 스타벅스 아이스 아메리카노 (20개)"
2024 SC제일은행-JA Korea Goal여대생 코치단 모집 안내,/data/poster/2404/511531.jpg?v=1712305203,JA Korea,JA Korea,24.04.05 ~ 24.04.28,봉사활동,대학생,"SC제일은행 임직원과의 멘토링, 수료증 및 기념품 제공"
5주 만에 행사기획 포폴 만들기,/data/poster/2404/511532.jpg?v=1712553766,(주)프로젝트퀘스천,마이팀플,24.04.05 ~ 24.04.19,기타(캠프/강연 등),"일반인, 대학생, 대학원생","완주 시, ㈜프로젝트퀘스천 발행 완주인증서"
2024 가야고분군 가야역사문화 서포터즈 모집,/data/poster/2404/511533.jpg?v=1712305415,가야고분군세계유산통합관리지원단,가야고분군세계유산통합관리지원단,24.04.08 ~ 24.04.30,서포터즈·기자단·마케터,기타 (전국 청년들(만 39세 미만)),오프라인 취재비 지원 (팀당 월별 50만원) 外
코드하나 대학생 SW교육 서포터즈 4기 추가모집,/data/poster/2404/511534.png?v=1712305616,(주)코드하나,(주)코드하나,24.04.05 ~ 24.04.10,서포터즈·기자단·마케터,대학생,봉사시간 지급
