공모전명,포스터,주최,주관,접수기간,분야,응모대상,시상내역
'아하' 지식 커뮤니티 대학생 서포터즈 1기 모집,/data/poster/2402/509101.PNG?v=1706747615,아하앤컴퍼니 주식회사,아하앤컴퍼니 주식회사,24.01.30 ~ 24.02.13,서포터즈·기자단·마케터,대학생,"우수 활동자 대상으로 스타트업 현직자와의 커피챗(PM, CTO, AI 엔지니어) 및 3~6개월 간의 인턴십 기회 外"
2024 한반도정책컨센서스 사무국원 모집,/data/poster/2402/509102.png?v=1706748034,한반도정책컨센서스,한반도정책컨센서스,24.02.01 ~ 24.02.12,기타(캠프/강연 등),"일반인, 대학생, 대학원생",활동 수료증 발급
다음 항목에 오류가 있습니다.,,,,,,,
2024년 광운대학교 캠퍼스타운 입주기업 모집 (창업자 또는 예비창업자),/data/poster/2402/509104.jpg?v=1706746120,광운대학교 캠퍼스타운사업단,광운대학교 캠퍼스타운사업단,24.01.29 ~ 24.02.29,기타(캠프/강연 등),"기타 (예비창업자, 스타트업)","사업화지원금 최대 2,500만원, 독립형 사무공간 지원 外"
다음 항목에 오류가 있습니다.,,,,,,,
제1회 구름낙서 콘테스트,/data/poster/2402/509106.jpg?v=1706746609,국립밀양기상과학관,국립밀양기상과학관,24.02.01 ~ 24.02.29,디자인·그림·웹툰,제한없음,총 상금 120만원
2024 Chat GPT(챗GPT) 아이디어 공모전,/data/poster/2402/509107.jpg?v=1706746871,인문사회통합성과확산센터,인문사회통합성과확산센터,24.02.05 ~ 24.04.22,아이디어·창업·네이밍,"대학생, 대학원생, 고등학생","총 상금 140만원(대상, 금상, 은상) 및 참가상"
사이버한국외국어대학교 20주년 슬로건 공모전,/data/poster/2402/509108.jpg?v=1706747090,사이버한국외국어대학교,사이버한국외국어대학교,24.02.01 ~ 24.02.21,아이디어·창업·네이밍,"일반인, 대학생, 대학원생","대 상(1명) 100만원, 참가상(20명) 스타벅스 3만원권 지급"
2024년 산림빅데이터 활용 해커톤,/data/poster/2402/509109.png?v=1707095268,"한국임업진흥원, 산림빅데이터거래소",한국임업진흥원,24.02.01 ~ 24.02.25,아이디어·창업·네이밍,제한없음,"대상, 금상, 은상, 동상"
제4회 오영수 신인문학상 공모전,/data/poster/2402/509110.jpg?v=1706747376,"울산매일신문사, S-OIL","한국소설가협회, 울산소설가협회",24.01.22 ~ 24.03.29,문학·학술·공학,제한없음,상금 500만원
환경아카이브 풀숲 환경(운동)사 논문 공모,/data/poster/2402/509111.jpg?v=1706748664,재단법인 숲과나눔,,24.02.01 ~ 24.04.30,문학·학술·공학,제한없음,"대상 300만원 × 1명, 최우수상 100만원 × 2명, 우수상 50만원 × 9명 外"
생명존중 미디어 모니터링단 4기 모집,/data/poster/2402/509112.jpg?v=1710141628,울산광역자살예방센터,울산광역자살예방센터,24.02.01 ~ 24.02.22,체험단·모니터링·인턴십,"일반인, 대학생, 대학원생, 기타 (울산시민 및 울산지역의 대(휴)학생)","위촉장 및 수료증 수여, 자살예방 생명지킴이 및 활동 교육 지원 外"
다음 항목에 오류가 있습니다.,,,,,,,
삼성화재 운전자보험 대학생 숏폼 공모전 소문내기 이벤트,/data/poster/2402/509114.png?v=1706750750,삼성화재,삼성화재,24.02.01 ~ 24.02.12,,,스타벅스 오늘도 달콤하게(ICE) 추첨 50명
서울버스 서비스 개선방안 시민 아이디어 공모전,/data/poster/2402/509115.jpg?v=1706749463,서울연구원,,24.01.22 ~ 24.02.14,아이디어·창업·네이밍,"일반인, 대학생, 대학원생, 기타 (서울버스 이용자 누구나)","최우수상 1명(팀) : 상금 100만원, 우수상 3명(팀) : 상금 각 50만원 外"
청년다방 청다러버 3기 모집,/data/poster/2402/509116.jpg?v=1706754397,청년다방,청년다방,24.02.01 ~ 24.02.20,서포터즈·기자단·마케터,대학생,"활동 우수팀 1인 인턴 채용, 개인 활동비, 팀 활동비, 우수 활동팀 상장/포상금"
KISIA S-개발자 2기 교육생 모집,/data/poster/2402/509117.png?v=1706752942,과학기술정보통신부,한국정보보호산업협회,24.02.01 ~ 24.02.18,기타(캠프/강연 등),제한없음,"과학기술정보통신부 장관인증서 및 창업지원금 총 5,000만원 外"
2024년 한미 첨단분야 청년교류 지원사업 장학생 선발공고,/data/poster/2402/509118.jpg?v=1706753123,산업통상자원부,한국산업기술진흥원,24.01.31 ~ 24.03.08,체험단·모니터링·인턴십,대학생,"한 학기 장학금 $0.9만(11,709,000원) / 두 학기 장학금 $1.8만(23,418,000원)"
코드잇 대학생 코딩 캠프 15기 모집,/data/poster/2402/509119.png?v=1706753238,코드잇,코드잇,24.02.01 ~ 24.02.13,기타(캠프/강연 등),대학생,"수료증 및 인증서, 이력서 꿀팁노트, 디지털플래너"
제2회 대교 어린이 미술대회,/data/poster/2402/509120.jpg?v=1706774216,(주)대교에듀캠프,(사)한국평생교육평가원,24.02.01 ~ 24.03.15,디자인·그림·웹툰,"초등학생, 기타 (미취학 어린이)","총 1,000만원 상당 장학금 및 부상 수여, 수상작 전시회 개최 外"
엽떡앱 리뷰왕을 찾아라!,/data/poster/2402/509121.png?v=1706752979,동대문엽기떡볶이,핫시즈너,24.02.01 ~ 24.02.15,,,"50명 추첨, 엽기떡볶이 14,000원 쿠폰 제공"
다음 항목에 오류가 있습니다.,,,,,,,
2024 의성사랑 유튜브 공모전,/data/poster/2402/509123.webp?v=1706754583,의성군,의성군,24.01.22 ~ 24.07.31,사진·영상,제한없음,"15점 1,500만원"
제14회 원효학술상 공모,/data/poster/2402/509124.png?v=1706754912,(재)대한불교진흥원,,24.02.01 ~ 24.03.04,문학·학술·공학,"일반인, 대학생, 대학원생","학자 부문 저서(1명) : 대상 3,000만원, 특별상(약간명) : 1,500만원 外"
한국건설교통신기술협회 제5회 건설교통신기술 슬로건 공모전,/data/poster/2402/509125.webp?v=1706755182,한국건설교통신기술협회,,24.01.24 ~ 24.03.15,아이디어·창업·네이밍,제한없음,대상(1명) : 상금 200만원 및 국토교통부장관상 外
더마테스트 서포터즈 4기 모집,/data/poster/2402/509126.png?v=1706760487,더마테스트 코리아,더마테스트 코리아,24.02.01 ~ 24.03.03,서포터즈·기자단·마케터,제한없음,"활동 수료증 발급, 우수 활동자 시상금 지급 外"
씽유 달콤한 2월 GO BACK DAY 이벤트,/data/poster/2402/509127.jpg?v=1706755833,씽유,씽유,24.02.01 ~ 24.02.29,,,GS25 모바일상품권 5천원권(30명)
ESG 대학생 아카데미 10기 모집,/data/poster/2402/509128.jpg?v=1706760684,LG전자,크림커뮤니케이션,24.02.01 ~ 24.02.21,서포터즈·기자단·마케터,대학생,LG전자 신입사원 채용 시 가점 부여(최종 우수활동자 및 우수활동조) 外
제1회 로스쿨&변호사시험 수기 공모전,/data/poster/2402/509129.jpeg?v=1706760226,법학전문대학원협의회,,24.03.18 ~ 24.05.17,문학·학술·공학,"일반인, 대학원생, 기타 (전국 법학전문대학원 재학생, 제13회 변호사시험 합격자)","총 상금 2,000만원"
2024 대한민국 해군창업경진대회,/data/poster/2402/509130.png?v=1713337287,해군본부,한국경제신문,24.02.01 ~ 24.04.19,아이디어·창업·네이밍,"일반인, 대학생, 대학원생, 기타 (대한민국 전 해군 장병)","총 상금 2,300만원 / 본선진출팀 전원 포상휴가 1일 부여(병에 한함) 外"
서울문화홍보원 전시 서포터즈 모집,/data/poster/2402/509131.jpg?v=1706761211,서울문화홍보원,서울문화홍보원,24.02.05 ~ 24.02.18,서포터즈·기자단·마케터,대학생,봉사시간 3시간 제공
의왕시인재육성재단 2024년 디자인 공모전,/data/poster/2402/509132.webp?v=1706761021,재단법인 의왕시인재육성재단,,24.01.16 ~ 24.02.16,디자인·그림·웹툰,"대학생, 고등학생, 기타 (의왕시 내 고등학생·대학생)",대상(1명) : 의왕시인재육성재단 이사장상 및 연구비 50만원 外
제63회 충북도민체육대회 숏폼 영상 공모전,/data/poster/2402/509133.webp?v=1706761466,진천군,,24.01.24 ~ 24.03.29,사진·영상,제한없음,대상(1점) : 상금 200만원 및 상장 外
2024 대한민국 육군창업경진대회,/data/poster/2402/509134.png?v=1711687399,육군본부,"한국경제신문, 대전일자리경제진흥원",24.02.01 ~ 24.04.05,아이디어·창업·네이밍,"일반인, 대학생, 대학원생, 기타 (대한민국 육군 현역 장병(장교,부사관,병))","총 상금 1,700만원 / 육군참모총장상 外"
다음 항목에 오류가 있습니다.,,,,,,,
2024년 강남 환경혁신교육 프로그램 아이디어 공모전,/data/poster/2402/509136.png?v=1706761913,강남구,,24.01.29 ~ 24.02.16,아이디어·창업·네이밍,제한없음,"최우수상(1명) : 50만원 및 구청장 상, 우수상(3명) : 각 30만원 및 구청장 상 外"
남동청소년센터 2024 센터명 공모전,/data/poster/2402/509137.jpg?v=1706762100,남동청소년센터,남동청소년센터,24.01.23 ~ 24.03.15,아이디어·창업·네이밍,"일반인, 기타 (인천시민 누구나 )","대상(1점) : 상금 30만원, 최우수상(1점) : 상금 20만원 外"
2024 대한민국 독서대전 포항 아이디어 공모전,/data/poster/2402/509138.webp?v=1706762395,포항시,포항시,24.01.29 ~ 24.03.03,아이디어·창업·네이밍,제한없음,"최우수상 1건 / 30만원 상당의 시상금, 우수상 2건 / 20만원 상당의 시상금 外"
베타리더 모집! <김변수와 시작하는 코딩생활 with C언어>,/data/poster/2402/509139.png?v=1706762472,"코뮤니티, 영진닷컴","코뮤니티, 영진닷컴",24.02.01 ~ 24.02.15,,,도서 증정/네이버페이1만원권/영진닷컴 쇼핑몰 적립금
