대외활동명,포스터,주최,주관,접수기간,분야,응모대상,혜택
2023 슈퍼레이스 음원 공모전,/data/poster/2303/493958.png?v=1678869866,셀바이뮤직 (뮤직플랫),CJ대한통운,23.03.16 ~ 23.03.29,"기타(예체능, e스포츠 등)","일반인, 대학생, 대학원생",당선작 1명 : 상금 200만원 (제세공과금 본인부담) + 2023년 슈퍼레이스 시즌권 + 음원 발매
2023 공진단 서포터즈 덩기덕국덕 모집,/data/poster/2303/493959.jpg?v=1678870009,전통공연예술진흥재단,기반조성팀,23.03.15 ~ 23.03.25,서포터즈·기자단·마케터,"일반인, 대학생, 대학원생","월 활동비 15만원 지원, 우수 활동자 포상"
남양주시북부장애인복지관 장애인식개선 포스터 공모전,/data/poster/2303/493960.jpg?v=1678869120,남양주시북부장애인복지관,남양주시북부장애인복지관,23.03.13 ~ 23.03.26,디자인·그림·웹툰,초등학생,대상 (남양주시장상) 外
제 6회 테마공모전 판타지 같은 인생,/data/poster/2303/493961.jpg?v=1678869355,조아라,조아라,23.05.11 ~ 23.06.28,문학·학술·공학,제한없음,"대상 1,400만원 外"
다음 항목에 오류가 있습니다.,Not found,Not found,Not found,Not found,Not found,Not found,Not found
2023년 시민 모니터링단 모집,/data/poster/2303/493963.jpg?v=1678869795,화성도시공사,화성도시공사,23.03.13 ~ 23.03.24,체험단·모니터링·인턴십,"일반인, 대학생, 대학원생","소정의 활동 수당 지급 (1회 30,000원) 外"
2023년 화성시동탄어울림종합사회복지관 ESG 프로젝트 크루원 모집,/data/poster/2303/493964.jpg?v=1678870101,화성시동탄어울림종합사회복지관,화성시동탄어울림종합사회복지관,23.03.15 ~ 23.03.24,기타(캠프/강연 등),대학생,자원봉사단(ESG토이UP크루)위촉장 外
2023 조선통신사 축제 자원봉사자 모집,/data/poster/2303/493965.png?v=1678870586,부산광역시,부산문화재단,23.03.14 ~ 23.04.07,봉사활동,"일반인, 대학생, 대학원생","시모노세키 행사 자워봉사자 참가 기회 제공(20명 내외), 단체복 및 식사제공, 부산문화재단 대표이사 명의 증서 수여 등"
제1회 평택굿즈 공모전,/data/poster/2303/493966.png?v=1678870618,평택시사신문,평택시사신문,23.02.01 ~ 23.03.31,아이디어·창업·네이밍,"일반인, 대학생, 대학원생, 기타",대 상  300만원 外
스위트나이트 성주별밤 봄내려온다 행사 개최,/data/poster/2303/493967.jpg?v=1678871173,성주군,지역문화발전소,23.03.15 ~ 23.04.01,Not found,,해당없음
"2023년 제37회 부산청소년예술제 ‘청소년, 영상으로 소통하다’",/data/poster/2303/493968.jpg?v=1678926601,"부산광역시, 부산광역시교육청, 부산예술문화단체총연합회",부산영화인협회,23.04.17 ~ 23.04.22,사진·영상,"초등학생, 중학생, 고등학생",상장 및 수상 기념품 증정
2023 치킨마루 치킨문예 공모전,/data/poster/2303/493969.jpeg?v=1678925224,치킨마루,치킨마루,23.03.15 ~ 23.04.05,문학·학술·공학,제한없음,대상(1명) : 맥북 에어 13인치
월간 삶의 온기 5월 호 원고 모집,/data/poster/2303/493970.jpg?v=1687416735,도서출판하영인,도서출판하영인,23.03.01 ~ 23.03.31,문학·학술·공학,제한없음,"매월 1명에게 '이달의 온기상'을 수여, 원고료 5만 원 지급 外"
한국 캐나다 수교 60주년기념 영어말하기 대회,/data/poster/2303/493971.jpg?v=1678925903,AMMC,AMMC,23.03.01 ~ 23.06.03,"기타(예체능, e스포츠 등)","초등학생, 중학생, 고등학생",2024년 캐나다 사립학교 캠프지원 外
기후변화센터X임팩트온 기자단 그린워싱 탐사대 2기 모집,/data/poster/2303/493972.jpeg?v=1678926092,(재)기후변화센터,주식회사 더퍼블리카(임팩트온),23.03.14 ~ 23.03.24,서포터즈·기자단·마케터,"일반인, 대학생, 대학원생",명예 활동자 장학금 부여 外
2023 제4회 여주인공 페스티벌 작품공모,/data/poster/2303/493973.JPG?v=1678927326,극단 행복한 사람들,여주인공 페스티벌 사무국,23.03.13 ~ 23.03.29,"기타(예체능, e스포츠 등)","일반인, 대학생, 대학원생","극장 대관료, 사진촬영 지원 外"
라이프저널리스트 택시뉴스 기자단 모집,/data/poster/2303/493974.jpg?v=1678928934,(주)애드플래닛커뮤니케이션,(주)애드플래닛커뮤니케이션,23.03.16 ~ 23.03.22,서포터즈·기자단·마케터,"일반인, 대학생, 대학원생",활동비 월 10만원 지급 外
제43주년 5·18민중항쟁기념행사 포스터 공모전,/data/poster/2303/493975.jpg?v=1678927601,제43주년 5·18민중항쟁기념행사위원회,제43주년 5·18민중항쟁기념행사위원회,23.03.14 ~ 23.03.28,"기타(예체능, e스포츠 등)",제한없음,당선작 300만원 外
Sophos 보안 솔루션 대학생 기자단 모집,/data/poster/2303/493976.jpg?v=1678927947,Sophos,Sophos,23.03.15 ~ 23.03.22,서포터즈·기자단·마케터,대학생,"공식 수료증 발급, 소정의 활동비 지원 外"
다음 항목에 오류가 있습니다.,Not found,Not found,Not found,Not found,Not found,Not found,Not found
제15회 한민족 효사랑 글짓기 공모전,/data/poster/2303/493978.jpeg?v=1678928070,효세계화운동본부,효세계화운동본부,23.05.01 ~ 23.07.31,문학·학술·공학,제한없음,상금100만원 및 보건복지부장관상 外
제3회 공주학아카이브 자료공모전,/data/poster/2303/493979.jpg?v=1678928338,공주대학교 공주학연구원,공주대학교 공주학연구원,23.03.15 ~ 23.07.04,문학·학술·공학,제한없음,상장 및 상금 각 30만원 外
제12회 정주영 창업경진대회,/data/poster/2303/493980.jpg?v=1678928631,아산나눔재단,아산나눔재단,23.03.15 ~ 23.04.12,아이디어·창업·네이밍,제한없음,"총 상금 2억 4천만원, 사무공간 지원 外"
2023년 청소년문화공간 및 여가지원사업 팡띵 Univ. 청소년 아티스트 모집,/data/poster/2303/493981.jpg?v=1678929192,광명시청소년재단,광명시청소년재단,23.03.11 ~ 23.03.26,"기타(예체능, e스포츠 등)","일반인, 대학생, 중학생, 고등학생",연 400만원의 아티스트 활동 예산 지원 外
2023년 안전문화 실천을 위한 슬로건 공모전,/data/poster/2303/493982.png?v=1678929415,고용노동부 진주지청,고용노동부 진주지청,23.03.22 ~ 23.03.31,아이디어·창업·네이밍,제한없음,20만원 상당 상품권 外
의정부시 시민의 노래 공모전,/data/poster/2303/493983.jpg?v=1678929625,의정부문화원,의정부문화원,23.03.13 ~ 23.05.11,"기타(예체능, e스포츠 등)",제한없음,"작사 부문, 총 1,050만원 外"
청년 조류충돌 모니터링단 '에코버드' 모집,/data/poster/2303/493984.jpg?v=1678930306,(사)자연의벗연구소,(사)자연의벗연구소,23.03.13 ~ 23.03.27,체험단·모니터링·인턴십,"일반인, 대학생",모니터링 기록 데이터 확보
2023년 바다동요대회 공모전,/data/poster/2303/493985.jpg?v=1678930025,한국해양재단,한국해양재단,23.03.15 ~ 23.04.25,"기타(예체능, e스포츠 등)",제한없음,"창작부문 대상 해양수산부 장관상 트로피, 상장 및 상금 3,000천원 外"
똑똑세종 실험실 공모전,/data/poster/2303/493986.jpg?v=1678930603,세종시청,세종시청,23.03.13 ~ 23.04.09,아이디어·창업·네이밍,기타,세종시장상 및 상금
제6회 더팩트 사진 공모전,/data/poster/2303/493987.png?v=1678930948,더 팩트,더 팩트,23.03.14 ~ 23.04.14,사진·영상,제한없음,대상 상장 및 상금 500만원 外
2023 부산 해양치유 프로그램 서포터즈 모집,/data/poster/2303/493988.png?v=1678931402,코코 아일랜드,코코 아일랜드,23.03.16 ~ 23.03.31,서포터즈·기자단·마케터,제한없음,"해양치유 프로그램 이용권, 활동 지원금 지급 및 우수 서포터즈 시상 外"
2023년 한국소비자원 대학생 광고감시단 모집,/data/poster/2303/493989.png?v=1678931817,한국소비자원,한국소비자원,23.03.15 ~ 23.03.26,체험단·모니터링·인턴십,대학생,활동비 개인별 40만원 지급 및 수료증 수여 外
대구미술관 '웰컴홈:개화' 전시 서포터즈 모집,/data/poster/2303/493990.jpg?v=1678931998,대구미술관,대구미술관,23.03.03 ~ 23.03.23,서포터즈·기자단·마케터,"일반인, 대학생, 대학원생","대구미술관 전시 초대권 제공, 봉사시간 인정 外"
2023 인천광역시 대표 청소년 어울림마당 기획단 모집,/data/poster/2303/493991.png?v=1678932075,성산청소년효재단,성산청소년효재단,23.03.15 ~ 23.03.31,서포터즈·기자단·마케터,,"청소년 축제 및 프로그램 기획, 운영, 평가 기회 제공 外"
2023 강동 환경작품 공모전,/data/poster/2303/493992.jpg?v=1678932390,강동구청,강동구청,23.03.27 ~ 23.04.14,사진·영상,"초등학생, 중학생","작품전시 및 상영, 환경보전 홍보 시 활용 外"
"오듀 제품 퀴즈 맞추고, 퓨리파이 탠저린 샴푸 받자!",/data/poster/2303/493993.jpg?v=1678939560,오프그리드,오프그리드,23.03.16 ~ 23.03.24,Not found,,오듀 퓨리파잉 탠저린 샴푸 증정
다음 항목에 오류가 있습니다.,Not found,Not found,Not found,Not found,Not found,Not found,Not found
셀카톡톡 체험단 모집,/data/poster/2303/493995.jpg?v=1678932586,(주)루이테크놀로지,(주)루이테크놀로지,23.03.15 ~ 23.03.29,체험단·모니터링·인턴십,제한없음,우수작 중 추첨을 통해 상품 증정
임베디드AIoT 애플리케이션 개발자 과정,/data/poster/2303/493996.png?v=1678933233,대한상공회의소 서울기술교육센터,한국취업센터,22.12.16 ~ 23.04.01,기타(캠프/강연 등),"일반인, 기타",교육비 전액 무료 / 훈련수당 지급 / 수료자 전원 취업 알선
부산 남구 도시브랜드 네이밍 공모전,/data/poster/2303/493997.png?v=1678932728,부산 남구,부산 남구,23.03.20 ~ 23.04.07,아이디어·창업·네이밍,제한없음,대상 100만원 外
제17회 대구국제뮤지컬페스티벌 딤프지기(자원활동가) 모집공고,/data/poster/2303/493998.jpg?v=1678933905,대구광역시,(사)대구국제뮤지컬페스티벌,23.02.21 ~ 23.03.20,봉사활동,제한없음,자원활동 인증서 발급 및 자원활동 시간 등록 外
제15회 목포문학상 작품공모,/data/poster/2303/493999.jpg?v=1678932937,목포시,목포문학상운영위원회,23.05.01 ~ 23.05.31,문학·학술·공학,"일반인, 대학생, 대학원생, 고등학생",박화성 소설상 7000만원 外
빅데이터 비즈니스를 위한 데이터 애널리스트 양성과정 4기 모집,/data/poster/2303/494000.jpg?v=1678933443,메디치교육센터 평생교육시설,메디치교육센터 평생교육시설,23.03.15 ~ 23.04.05,기타(캠프/강연 등),"일반인, 대학생, 대학원생","교육비 전액 무료, 매월 훈련장려금 지급, 교재 및 다과/ 실습장비 지원 外"
2023년 텐서플로우  인공지능 데이터 분석과정 교육생 모집,/data/poster/2303/494001.png?v=1678939461,한국여성과학기술인육성재단(WISET),한국여성과학기술인육성재단(WISET),23.02.13 ~ 23.03.21,기타(캠프/강연 등),"일반인, 대학생, 기타",이력서 자소서 클리닉 등 취업 컨설팅 지원
제4회 뉴스읽기 뉴스일기 공모전,/data/poster/2303/494002.jpg?v=1678940952,한국언론진흥재단,공모전운영사무국,23.03.13 ~ 23.06.30,문학·학술·공학,"일반인, 대학생, 대학원생, 초등학생, 중학생, 고등학생","총 상금 6, 000만원"
2023 천안 8경 영상 콘텐츠 공모전,/data/poster/2303/494003.jpeg?v=1681349351,천안문화재단,천안문화재단,23.05.01 ~ 23.05.31,사진·영상,제한없음,대상 상금 200만원 外
'I AM 과천' 쇼츠 영상 공모전,/data/poster/2303/494004.jpg?v=1678934102,과천시청,과천시청,23.03.15 ~ 23.04.30,사진·영상,제한없음,최우수 200만원 外
Future 핀테크랩 클라우드 기반 핀테크 전문가,/data/poster/2303/494005.png?v=1678941368,우리에프아이에스,우리에프아이에스,23.03.16 ~ 23.04.03,기타(캠프/강연 등),제한없음,국비지원 교육
반도체장비 전장제어과정,/data/poster/2303/494006.png?v=1678941728,대한상공회의소 서울기술교육센터,한국취업센터,22.12.16 ~ 23.03.21,기타(캠프/강연 등),"일반인, 기타",교육비·실습재료 전액 무료 / 훈련수당 지급 / 수료자 전원 취업 알선
기업프로젝트SW개발자 자바 풀스텍개발자 과정,/data/poster/2303/494007.png?v=1678941825,대한상공회의소 서울기술교육센터,한국취업센터,22.12.16 ~ 23.03.20,기타(캠프/강연 등),"일반인, 기타",교육비 전액 무료 / 훈련수당 지급 / 수료자 전원 취업 알선
검진모아 서포터즈 1기 모집,/data/poster/2303/494008.jpg?v=1678939543,주식회사 상상모아,주식회사 상상모아,23.03.10 ~ 23.03.29,서포터즈·기자단·마케터,"일반인, 대학생, 대학원생",미션 건당 소정의 기프티콘 제공 外
다음 항목에 오류가 있습니다.,Not found,Not found,Not found,Not found,Not found,Not found,Not found
2023년 경북교육청 반부패 청렴정책 아이디어 공모,/data/poster/2303/494010.jpg?v=1678939999,경상북도교육청,경상북도교육청,23.03.08 ~ 23.03.27,아이디어·창업·네이밍,"일반인, 대학생, 대학원생",최우수상 100만원 外
다음 항목에 오류가 있습니다.,Not found,Not found,Not found,Not found,Not found,Not found,Not found
믿고 쓰는 애터미의 시작 '애터미 고객패널단' 3기 모집,/data/poster/2303/494012.jpg?v=1678942471,애터미(주),애터미(주),23.03.16 ~ 23.03.24,체험단·모니터링·인턴십,"일반인, 대학생, 대학원생, 주부 및 영유아, 기타","애터미 제품 테스트 기회 (단, 제품 테스트 및 설문 조사는 대상자 선정 후 진행)"
전북관광기업지원센터 전북지식살롱 part 2 교육생 모집,/data/poster/2303/494013.jpg?v=1679274595,전라북도문화관광재단,전북관광기업지원센터,23.03.15 ~ 23.03.22,기타(캠프/강연 등),제한없음,무료 강연
[타임세일] 모바일한경 웰컴 기프트 (일반/대학생),/data/poster/2303/494014.jpg?v=1682294036,모바일한경,모바일한경,23.03.16 ~ 23.06.30,Not found,,
2023년 대구광역시 청소년활동 홍보단 모집,/data/poster/2303/494015.jpg?v=1678942846,대구광역시청소년활동진흥센터,대구광역시,23.03.15 ~ 23.04.04,서포터즈·기자단·마케터,대학생,"소정의 활동비, 역량강화 교육지원, 워크숍 등"
K-학교급식 UCC 공모전,/data/poster/2303/494016.png?v=1678943049,서울특별시교육청,서울특별시교육청,23.03.27 ~ 23.04.14,사진·영상,제한없음,교육감상 및 모바일 상품권 20만원 外
다음 항목에 오류가 있습니다.,Not found,Not found,Not found,Not found,Not found,Not found,Not found
노인장기요양보험 체험수기 및 사진 공모,/data/poster/2303/494018.JPG?v=1678943345,국민건강보험공단,,23.03.02 ~ 23.03.31,사진·영상,제한없음,최우수상 200만원 外
미디어ON 디지털콘텐츠마케터 청년 진로 강연,/data/poster/2303/494019.png?v=1678944374,오금청소년센터,송파구청,23.03.08 ~ 23.03.24,기타(캠프/강연 등),제한없음,무료 강연
2023 노들섬 서포터즈 '노드리' 모집,/data/poster/2303/494020.jpg?v=1678943525,노들섬,노들섬,23.03.07 ~ 23.03.22,서포터즈·기자단·마케터,"일반인, 대학생, 대학원생","소정의 활동비 지급, 활동 완료 시 수료증 발급 (서울시장 명의) 外"
제23회 대한민국 안견미술대전,/data/poster/2303/494021.jpg?v=1678943762,(재)서산문화재단,서산시,23.07.03 ~ 23.07.05,디자인·그림·웹툰,"일반인, 대학생, 대학원생","총 상금 4,890만원"
제20회 기업사랑 학생 글짓기 공모전,/data/poster/2303/494022.jpg?v=1678943975,창원기업사랑협의회,(사)한국예술문화단체총연합회 창원지회,23.03.20 ~ 23.04.27,문학·학술·공학,"초등학생, 중학생",경상남도교육감상/문화상품권(10만원) 外
제20회 기업사랑 기업인 노동자 가족 미술작품 공모전,/data/poster/2303/494023.jpg?v=1678944210,창원기업사랑협의회,(사)한국예술문화단체총연합회 창원지회,23.03.20 ~ 23.04.27,디자인·그림·웹툰,제한없음,"대상 30만원, 상장 外"
2023 내나라 여행박람회 공식 서포터즈 '내내즈' 모집,/data/poster/2303/494024.jpg?v=1678945231,문화체육관광부,한국관광협회중앙회,23.03.16 ~ 23.03.29,서포터즈·기자단·마케터,제한없음,"활동비지급, 활동증명서 발급, 초대장 및 기념품 제공 등"
2023년 굿네이버스 서울성동지부 아동권리옹호 서포터즈 모집,/data/poster/2303/494025.png?v=1678945585,굿네이버스 서울성동지부,굿네이버스 서울성동지부,23.03.10 ~ 23.03.24,서포터즈·기자단·마케터,"일반인, 대학생, 대학원생","봉사 시간 인정, 활동인증서 발급 外"
다음 항목에 오류가 있습니다.,Not found,Not found,Not found,Not found,Not found,Not found,Not found
(기간연장) 2D/3D 메타버스 콘텐츠 제작 전문가 과정 참여자 모집,/data/poster/2303/494027.png?v=1680227580,고용노동부,방송정보국제교육원,23.03.16 ~ 23.06.27,기타(캠프/강연 등),"일반인, 대학생, 대학원생, 기타","700만원 상당의 교육비 전액지원, 월 81만원 훈련장려금 外"
제41회 대한민국사진대전,/data/poster/2303/494028.jpg?v=1678947117,(사)한국사진작가협회,(사)한국사진작가협회,23.04.25 ~ 23.04.26,사진·영상,제한없음,문화체육관광부 장관상 및 훈장형 상패(예정) 外
다산딸기조합농원 홍보영상 공모전,/data/poster/2303/494029.png?v=1678947248,다산딸기조합농원,다산딸기조합농원,23.03.15 ~ 23.04.28,사진·영상,제한없음,대상(1팀) : 100만원 外
2023 충북 청년봉사단 나눔누리 봉사단 모집,/data/poster/2303/494030.jpg?v=1678947310,충청북도종합자원봉사센터,충청북도종합자원봉사센터,23.03.13 ~ 23.12.31,봉사활동,"일반인, 대학생, 대학원생",자원봉사시간(1365) 인정 外
제21회 경상북도 영상콘텐츠 시나리오 공모전,/data/poster/2303/494031.jpg?v=1678947573,경상북도,경상북도콘텐츠진흥원,23.06.01 ~ 23.06.28,사진·영상,제한없음,"경상북도지사상 및 상금 1,500만원 外"
2023 안견문화제 전국청소년미술공모전,/data/poster/2303/494032.jpg?v=1678947821,"서산문화재단, 안견기념사업회","서산문화재단, 안견기념사업회",23.05.29 ~ 23.05.31,디자인·그림·웹툰,"초등학생, 중학생, 고등학생",총상금 725만원
2023년 벡스코 주민모니터단 모집,/data/poster/2303/494033.JPG?v=1678947849,bexco,bexco,23.03.13 ~ 23.03.24,체험단·모니터링·인턴십,"일반인, 대학생, 대학원생",모니터 대상 전시회 무료 입장 지원 外
다음 항목에 오류가 있습니다.,Not found,Not found,Not found,Not found,Not found,Not found,Not found
다음 항목에 오류가 있습니다.,Not found,Not found,Not found,Not found,Not found,Not found,Not found
나만의 메타버스 세상 '지니버스' 런칭 이벤트,/data/poster/2303/494036.jpg?v=1678948132,KT,플랜웍스 엔터프라이즈,23.03.13 ~ 23.04.11,기타(캠프/강연 등),제한없음,"네이버 페이 포인트 3,000원 外"
2023년 제10회 광융합 제품디자인 및 기술사업화 아이디어 공모전,/data/poster/2303/494037.jpg?v=1678948422,한국광기술원,한국광기술원,23.05.08 ~ 23.06.09,아이디어·창업·네이밍,기타,"총상금 1,650만원 外"
2023 서울시 뉴딜일자리 디지털 퍼포먼스 마케터 양성과정 모집,/data/poster/2303/494038.jpg?v=1678950678,전경련국제경영원,서울시,23.03.16 ~ 23.05.02,기타(캠프/강연 등),"일반인, 대학생, 대학원생","취업연계, 인턴십, 국비지원"
2023년도 ICT융합산업보안 인력양성사업 교육생 모집,/data/poster/2303/494039.jpg?v=1678950874,과학기술정보통신부,한국정보보호산업협회,23.03.16 ~ 23.05.06,기타(캠프/강연 등),제한없음,"﻿중식 및 다과 제공, 교육비 및 교재비 등 전액 무료 교육 外"
채팅앱 만들고 에어팟도 받는 '오즈단 1기' 모집,/data/poster/2303/494040.png?v=1678951018,넥스트러너스,넥스트러너스,23.03.20 ~ 23.04.07,서포터즈·기자단·마케터,제한없음,"수료증 증정, 강의 무료제공, 사은품 증정"
"'청년, 진짜를 기획하라' 오픈 이노베이션 캠프",/data/poster/2303/494041.jpg?v=1678951210,일자리경제과 청년정책팀,일자리경제과 청년정책팀,23.03.06 ~ 23.03.17,기타(캠프/강연 등),"일반인, 대학생, 대학원생","우수활동 2개 팀 구청장 상장 시상(대상 1, 금상 1)  外"
농식품 분야 해외 인턴십 OASIS프로그램 2023 인턴 모집안내,/data/poster/2303/494042.jpg?v=1678951153,농림축산식품부,농림수산식품교육문화정보원,23.03.06 ~ 23.03.24,기타(캠프/강연 등),"일반인, 대학생, 대학원생","월별 활동비,체재비,준비비,사전교육 外"
다음 항목에 오류가 있습니다.,Not found,Not found,Not found,Not found,Not found,Not found,Not found
실내건축기사 취득 과정 교육생 모집,/data/poster/2303/494044.png?v=1678953652,강남그린컴퓨터아카데미,강남그린컴퓨터아카데미,23.03.16 ~ 23.03.31,기타(캠프/강연 등),"일반인, 대학생","취업 지원, 훈련비 전액 무료, 기사 자격 취득"
다음 항목에 오류가 있습니다.,Not found,Not found,Not found,Not found,Not found,Not found,Not found
다음 항목에 오류가 있습니다.,Not found,Not found,Not found,Not found,Not found,Not found,Not found
대한럭비협회 대학생 기자단 모집,/data/poster/2303/494047.jpg?v=1678952294,대한럭비협회,대한럭비협회,23.03.13 ~ 23.04.07,서포터즈·기자단·마케터,,활동비 300만원 지급(5~7월 100만 원씩/원천징수 후 지급) 外
한국제약바이오협회 청년기자단 '팜블리' 5기 모집,/data/poster/2303/494048.png?v=1678952704,한국제약바이오협회,한국제약바이오협회,23.03.13 ~ 23.03.26,서포터즈·기자단·마케터,"일반인, 대학생, 대학원생","기자단 위촉장 및 수료증 발급, 기자단 전용 명함 지급 外"
"신인, 기성 작가들을 위한 조아라 웹소설 공모전",/data/poster/2303/494049.jpg?v=1678953923,조아라,조아라,23.05.11 ~ 23.06.28,문학·학술·공학,제한없음,"대상 : 1,400만원 外"
2023년 김천시 남산지구 도시재생 주민공모사업 공고,/data/poster/2303/494050.jpg?v=1678953969,김천시 남산지구,김천시 남산지구,23.03.15 ~ 23.03.28,"기타(예체능, e스포츠 등)",일반인,"총48,000,000원(총 5건 선정) 外"
너만없는 고양이 '너의 의미' 공모전,/data/poster/2303/494051.jpg?v=1678956406,너만 없는 고양이,너만 없는 고양이,23.03.16 ~ 23.03.31,사진·영상,제한없음,"단비네 고양이 턱드름 전용 수제비누, 고양이 전용 물티슈"
진주덕후 하모TV 유튜브 구독 인증 이벤트,/data/poster/2303/494052.jpg?v=1678954233,진주덕후 하모TV,진주덕후 하모TV,23.03.16 ~ 23.03.31,기타(캠프/강연 등),제한없음,추첨을 통해 치킨(20인) 증정
캐릭터 파라다이스 디자인 크루 모집,/data/poster/2303/494053.jpg?v=1678954596,드래곤미디어,드래곤미디어,23.03.20 ~ 23.04.14,디자인·그림·웹툰,제한없음,"전국 롯데시네마(69개 지점, 119대) 내 당선 캐릭터 포토카드 제작 및 판매 外"
2023 문화도시 용인 예술교육 매개자 아트러너 모집,/data/poster/2303/494054.jpeg?v=1678954830,용인문화재단,용인문화재단,23.03.16 ~ 23.03.28,서포터즈·기자단·마케터,제한없음,교육 워크숍 무료 수강 外
제5회 유니버설디자인 아이디어 대전,/data/poster/2303/494055.jpg?v=1679371099,한국장애인개발원,한국장애인개발원,23.07.24 ~ 23.07.28,문학·학술·공학,제한없음,대상 300만원 外
2023 도봉구 사회적경제 청년 서포터즈 3기 모집,/data/poster/2303/494056.jpg?v=1678955018,도봉구청,도봉구청,23.03.20 ~ 23.03.31,서포터즈·기자단·마케터,제한없음,"서포터즈 위촉장 및 명함 지급, 우수 활동자 구청장 표창 추천, 소정의 활동비 지급 外"
제16기 통일부 청년 기자단 모집,/data/poster/2303/494057.jpg?v=1678955868,통일부,운영사무국,23.03.13 ~ 23.04.03,서포터즈·기자단·마케터,"일반인, 대학생, 대학원생","활동 사례비 지급, 우수 기자 및 기사 시상 外"
서울YMCA 2023 청소년 유해환경 감시단 모집,/data/poster/2303/494058.jpg?v=1678957345,서울YMCA,서울YMCA,23.03.01 ~ 23.03.24,봉사활동,"중학생, 고등학생",봉사시간 지급
2023 KT&G 상상마당 코코챌린지,/data/poster/2303/494059.png?v=1678956851,KT&G 상상마당,KT&G 상상마당,23.03.16 ~ 23.04.12,아이디어·창업·네이밍,"일반인, 대학생, 대학원생, 기타","팀별 2000만원 상당 제품 개발 및 제작, 전문가 멘토링 지원"
글로벌 관광마케팅 컨벤션 전문가 양성과정,/data/poster/2303/494060.jpg?v=1678957012,양정인력개발센터,양정인력개발센터,23.03.16 ~ 23.03.19,기타(캠프/강연 등),"일반인, 대학생",전액국비무료&매월 훈련수당제공
서울YMCA  2023 청소년기자단 부원 모집,/data/poster/2303/494061.jpg?v=1679012530,서울YMCA,서울YMCA,23.03.01 ~ 23.03.24,서포터즈·기자단·마케터,"중학생, 고등학생",현직 기자 특강 및 다양한 기자 체험 활동
서울YMCA  2023 환경동아리 부원 모집,/data/poster/2303/494062.jpg?v=1678957355,서울YMCA,서울YMCA,23.03.01 ~ 23.03.24,기타(캠프/강연 등),"중학생, 고등학생",대학생들과 다양한 환경 관련 활동 체험
2023 전기사랑 미디어콘텐츠대전,/data/poster/2303/494063.png?v=1679012189,한국전기신문,한국전기신문,23.03.13 ~ 23.05.21,사진·영상,제한없음,"대상, 최우수상, 우수상 등"
2023 옵티미스트 코리아 영어 말하기(스피치) 대회,/data/poster/2303/494064.png?v=1679012471,옵티미스트 코리아,옵티미스트 코리아,23.03.14 ~ 23.05.05,사진·영상,"초등학생, 중학생, 고등학생","1등 - 상금 500,000 KRW 外"
'동아시아 문화도시 (CCEA)' 미디어 및 온라인 인플루언서 투어 2023 참가자 모집,/data/poster/2303/494065.png?v=1679012792,한중일3국협력사무국,한중일3국협력사무국,23.03.16 ~ 23.03.22,기타(캠프/강연 등),일반인,"전 일정 항공권, 숙박, 현지 교통, 공식 일정상 발생하는 모든 비용 지원"
"2023 국민외교 공감팩토리 ""자유, 평화, 번영에 기여하는 대한민국 인태전략""",/data/poster/2303/494066.jpg?v=1679012954,외교부,외교부,23.03.16 ~ 23.03.21,기타(캠프/강연 등),제한없음,참석확인증 발급
환경부 탄소중립 청년서포터즈 3기 모집,/data/poster/2303/494067.png?v=1679013222,환경부,환경보전협회,23.03.16 ~ 23.04.02,서포터즈·기자단·마케터,"대학생, 대학원생",우수 서포터즈 선정 시 시상금 수여(상품권 지급) 外
"POP Europe Tour 유럽연수 - 폴란드 아우슈비츠, 베를린, 헤이그, 파리, 제네바 등 - 2023.08.11.~08.24. / 12박13일",/data/poster/2303/494068.jpg?v=1679011411,착한여행,POP 대화 운영위원회,23.03.01 ~ 23.04.09,Not found,,-
다음 항목에 오류가 있습니다.,Not found,Not found,Not found,Not found,Not found,Not found,Not found
2023 달서주거복지센터 주거서포터즈단 모집,/data/poster/2303/494070.jpg?v=1679011836,달서주거복지센터,달서주거복지센터,23.03.16 ~ 23.03.29,서포터즈·기자단·마케터,"일반인, 대학생, 대학원생","봉사 활동 경험, 주거 환경 개선 활동 참여 경험"
2023 평화통일 청년 서포터즈 모집,/data/poster/2303/494071.jpg?v=1679012016,부산광역시,부산광역시,23.03.13 ~ 23.03.24,서포터즈·기자단·마케터,"일반인, 대학생, 대학원생","지원봉사시간 및 대학생 사회기여 마일리지 부여, 실비(교통비, 식비)지원 外"
다음 항목에 오류가 있습니다.,Not found,Not found,Not found,Not found,Not found,Not found,Not found
제38회 복사골예술제 자원활동가 모집,/data/poster/2303/494073.jpg?v=1679012283,한국예총 부천지회,한국예총 부천지회,23.03.15 ~ 23.03.31,봉사활동,"일반인, 대학생, 대학원생","축제 티셔츠 및 명찰, 식사 지급 外"
2023년 마포청년나루 청년 기자단 '나루호' 신규단원 모집,/data/poster/2303/494074.jpg?v=1679012668,마포청년나루,마포청년나루,23.03.13 ~ 23.04.05,서포터즈·기자단·마케터,"일반인, 대학생, 대학원생","소정의 콘텐츠 제작비 지급, 전문가 초빙 역량강화교육 진행 外"
2023년 대학생 전문자원봉사단 액션-UP 모집,/data/poster/2303/494075.png?v=1679012872,소하노인종합복지관,소하노인종합복지관,23.03.06 ~ 23.03.24,봉사활동,대학생,"자원봉사 시간 인정, 위촉 및 수료증 수여 外"
