대외활동명,주최,주관,접수기간,분야,응모대상,혜택,조회수
​한국수자원공사(K-water) 대학생 서포터즈 18기 모집,한국수자원공사,제이레퍼토리,24.05.20 ~ 24.06.13,서포터즈·기자단·마케터,대학생,"활동비, 우수팀 포상, 위촉장 外",0
국군 희망음악회 자원봉사자 모집,사단법인 한국나눔연맹,사단법인 한국나눔연맹,24.05.20 ~ 24.06.11,봉사활동,"대학생, 대학원생, 고등학생",자원봉사자 전원 봉사 실적 반영(vms/1365),0
이랜드리테일 영업관리 직무 일경험 프로그램(1차),고용노동부,경기경영자총협회,24.05.21 ~ 24.06.17,체험단·모니터링·인턴십,"대학생, 대학원생","참여자 수당, 현직자 멘토링, 입사 시 가산점",0
아트인사이트 에디터 32기 모집,아트인사이트,아트인사이트,24.06.01 ~ 24.06.22,서포터즈·기자단·마케터,제한없음,"수료증 및 인증서, 입사시 혜택, 문화초대, 멘토링 제공 등",0
제 12회 부산국제코미디페스티벌 자원봉사자 모집,(사)부산국제코미디페스티벌조직위원회,(사)부산국제코미디페스티벌조직위원회,24.05.17 ~ 24.06.17,봉사활동,제한없음,소정의 기념품,0
(주)메이크인/고용노동부 드론 분야 기업탐방 프로그램 참여자 모집,(주)메이크인,고용노동부,24.05.21 ~ 24.06.21,서포터즈·기자단·마케터,"일반인, 대학생, 대학원생, 고등학생","참가비 100% 무료, 현직자 멘토링, 청년고용정책 정보 제공 外",0
식량안보 인식 제고 국제기구 탐방 참가자 모집,FAO 한국협회,-,24.05.16 ~ 24.07.03,체험단·모니터링·인턴십,"대학생, 고등학생","국제기구 탐방 비용(항공료, 숙박비, 기관 방문비) 무료",0
SOUL LIVE 틱톡 라이브 크리에이터 모집,(주) 쏘울라이브,(주) 쏘울라이브,24.05.20 ~ 24.06.30,서포터즈·기자단·마케터,제한없음,"협찬 및 광고 기회 제공, 전문가들의 1대1 모니터링, 콘텐츠 교육",0
제20회 제천국제음악영화제 자원활동가 JIMFFree 모집,제천국제음악영화제,제천국제음악영화제,24.05.13 ~ 24.06.16,봉사활동,"일반인, 대학생, 대학원생","봉사점수, 기념품, 참여인증서 등",0
오비맥주 마케팅스쿨 3기 모집,오비맥주,오비맥주,24.05.16 ~ 24.06.16,서포터즈·기자단·마케터,"일반인, 대학생, 대학원생",오비맥주 현업 마케터들의 실무형 마케팅 강의 청취  外,0
RPA(로봇자동언어) 개발자 양성과정 교육생 모집,서울시동부여성발전센터,서울시동부여성발전센터,24.05.22 ~ 24.07.29,기타(캠프/강연 등),기타 (미취업 청년 여성 20명),교육 수료 후 취업연계,0
2024 주니어해양 피켓챌린지 바다야 괜찮아? 우리가 지켜줄게! 피켓 영상 모집,"해양수산부, 해양경찰청, 부산광역시, 부산광역시교육청, 한국해양진흥공사, 해양박물관, MSC 해양관리협의회, (주)쿠키뉴스 동남권본부, (사)이로운 동행, (주)뉴스1 부산경남","해양수산부, 해양경찰청, 부산광역시, 부산광역시교육청, 한국해양진흥공사, 해양박물관, MSC 해양관리협의회, (주)쿠키뉴스 동남권본부, (사)이로운 동행, (주)뉴스1 부산경남",24.05.22 ~ 24.06.20,서포터즈·기자단·마케터,"초등학생, 중학생, 고등학생",제작한 피켓 영상 상영,0
(주)이랜드킴스클럽 영업 매장관리 일경험 인턴 모집 6기,고용노동부,경기경영자총협회,24.05.23 ~ 24.06.14,체험단·모니터링·인턴십,"대학생, 대학원생, 고등학생","참여자 수당, 기념품 지급, 수료증 발급, 현직자 멘토링",0
우리도 할 수 IT(있)지! 봉사단 모집,만월종합사회복지관,만월종합사회복지관,24.05.22 ~ 24.06.28,서포터즈·기자단·마케터,"일반인, 대학생, 대학원생",자원봉사활동 시간,0
해양레저축제 KIMA WEEK 2024 서포터즈 모집,부산광역시,(사)한국해양레저네트워크,24.05.13 ~ 24.06.24,서포터즈·기자단·마케터,대학생,"서포터즈 수료증 발금, 기념품 제공 外",0
(재)충남정보문화산업진흥원 주최 2024 충남 데이터 청년 인턴십 참가자 모집,(재)충남정보문화산업진흥원,아토플래닛(주),24.05.22 ~ 24.06.12,체험단·모니터링·인턴십,"일반인, 대학생, 대학원생",인턴십 프로그램 제공,0
"청년 자살예방 서포터즈 3기 모집(리더, 팀원)",서울시자살예방센터,서울시자살예방센터,24.05.23 ~ 24.06.13,서포터즈·기자단·마케터,"일반인, 대학생, 대학원생","우수활동가, 우수활동팀 시상",0
프리페어 신규 컨설턴트 모집,프리페어,프리페어,24.05.24 ~ 24.08.23,서포터즈·기자단·마케터,"대학생, 대학원생","활동에 따른 임금 지급, 필요 시 활동 증명서 발급, 입시 컨설턴트로의 경험 획득",0
아마존/구글 클라우드 취업 부트캠프,THE국제직업전문학교,THE국제직업전문학교,24.05.23 ~ 24.06.14,기타(캠프/강연 등),제한없음,기숙사지원/매월 훈련수당,0
제4회 의정부음악도서관 영아티스트 콘서트 오디션,의정부시/의정부음악도서관,의정부시/의정부음악도서관,24.06.18 ~ 24.07.05,"기타(예체능, e스포츠 등)","중학생, 고등학생",의정부음악도서관 뮤직홀 공연 기회 外,0
[국민체육진흥공단]과 함께하는 2024 서울올림픽레거시투어 참가자 모집,국민체육진흥공단,아트숨비,24.05.11 ~ 24.06.22,기타(캠프/강연 등),제한없음,"무료 참가비, 청소년 체험키트 外",0
코리아 핀테크 위크 2024,금융위원회,한국핀테크지원센터,24.05.20 ~ 24.12.31,기타(캠프/강연 등),제한없음,-,0
2024 대학생 해외봉사단 굿뉴스코 단원모집,굿뉴스코해외봉사단,굿뉴스코해외봉사단,24.05.06 ~ 24.06.20,봉사활동,"대학생, 대학원생","숙식지원, 봉사활동확인서 발급",0
2024년 GKL 모두를 위한 관광기획단 참가자 모집,GKL사회공헌재단,GKL사회공헌재단,24.05.24 ~ 24.06.14,서포터즈·기자단·마케터,"대학생, 대학원생",우수팀 인센티브 제공 外,0
2024년 국제해양법 모의재판대회,해양수산부,한국해양재단,24.05.20 ~ 24.07.08,"기타(예체능, e스포츠 등)","대학생, 대학원생",1등 500만원,0
생활 스포츠 지도사 직무 인턴형 일경험 참여자 모집,경기경영자총협회,고용노동부,24.05.24 ~ 24.06.18,체험단·모니터링·인턴십,"일반인, 대학생",월 140만원 청년지원금 지급,0
2024년 제3회 서대문구 전공설명회 대학생 멘토 모집,서대문진로직업체험지원센터,서대문구,24.05.28 ~ 24.06.21,서포터즈·기자단·마케터,대학생,"서대문구청장명 감사장, 봉사시간 지급 등",0
광주 지역아동센터 '게임으로 배우는 언어교실' 봉사자 모집,국제청년센터,국제청년센터,24.05.25 ~ 24.07.04,봉사활동,"대학생, 대학원생","봉사시간 지급, 수료증 지급",0
한일미래팩토리포럼 2024 참여 모집,2024년도 한일청소년대화형 교류사업위원회,츠쿠바대학 한일청소년대화형 교류사업사무국,24.05.07 ~ 24.07.05,기타(캠프/강연 등),대학생,활동 증명서 교부,0
장학금지원사업 2024년도 서부공감 위피스쿨 14기 멘토 모집 공고,한국서부발전(주),(사)한국메타교육협회,24.05.27 ~ 24.06.16,봉사활동,대학생,"수료증 및 장학증서, 장학금 150만원",0
2024년 미래내일 일경험 지원사업(인턴형) 참여자 모집(5차),고용노동부,이노비즈협회,24.05.27 ~ 24.06.23,체험단·모니터링·인턴십,제한없음,"사전직무교육 참여수당 지급, 인턴십 참여수당 420만원 지급 外",0
JOINTERNSHIP 27기 활동가 모집,조인어스코리아,조인어스코리아,24.05.27 ~ 24.06.14,체험단·모니터링·인턴십,"일반인, 대학생, 대학원생",활동 기간에 대한 자원봉사시간 인정 (약 600시간 이상),0
